分類編號,序號,財產名稱,廠牌&型號,數量(範例請刪除
3140308-15,225,攝影機,"SONY＆
HDR-XR550",1
3140308-15,291~292,攝影機,"SONY＆
HDR-PJ670",2
35010105-33,149,錄放影機,"LILIN＆
DVR516D",1
3140101-03,9075~9076,筆記型電腦,"ASUS＆
Eee Pad TF101",2
3140101-03,9080~9081,筆記型電腦,"FUJITSU＆
S561",2
3140101-03,11543~11545,筆記型電腦,"Apple＆
A1398",3
3140101-03,11621~11626,筆記型電腦,"ASUS＆
A550V",6
34050202-05,1131~1134,智慧型手機,"hTC＆
One M9",4
34050202-05,1135~1137,智慧型手機,"Apple＆
A1586",3
34050202-05,1104~1113,智慧型手機,"hTC＆
Butterfly 2",10
34050202-05,1114~1116,智慧型手機,"Apple＆
MGAF2TA/A",3
34050202-05,1117~1126,智慧型手機,"hTC＆
ONE_M8",10
34050202-05,1127~1128,智慧型手機,"Samsung＆
GALAXY Note 4",2
34050202-05,1129~1130,智慧型手機,"SONY＆
Xperia Z3",2
3140308-13,32,相機,"Panasonic＆
LUMIX GX1",1
3140308-13,76,相機,"Canon＆
EOS 7D MarkII",1
3140308-13,84~85,相機,"Canon＆
EOS 100D",2
35010105-21,559,投影機,"BenQ＆
MX760",1
3140101-03,9082~9084,平板電腦,"Apple＆
iPad",3
3140101-03,9139~9142,平板電腦,"ASUS＆
TF101",4
